radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,2.31488020008980966e+00,7.64119379752379047e+00,2.15000784725390665e-01
3,1.16666666666666655e-01,1.22777777777777625e-01,2.91022224114187722e+00,4.78611434804070202e-01,7.91565695292970051e-02
4,6.14761685532570976e-02,4.50955758708076748e-02,3.42518414190214759e+00,3.33979878493602889e-01,4.96061129800640099e-02
5,2.59725395078556215e-02,1.63778684536216440e-02,4.05242659315142006e+00,2.70577590875436258e-01,3.79612998060442491e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.38589938478152774e+00,2.50293667344635262e-01,4.35649102865956900e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.72952627779821810e+00,2.62252390732093499e-01,5.19255718040615155e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,8.13068034198155942e+00,2.66369632827336333e-01,5.89907344843144249e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.62867927410002977e+00,2.81770168620605832e-01,6.46495889926223533e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.18254984396579719e+01,2.84714480966412165e-01,7.03138382635539877e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.47812021303860117e+01,2.98482069261589489e-01,7.54567125952991385e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.84805246314330098e+01,3.08682365959289273e-01,7.95605743186778569e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.37367588089080783e+01,3.67932695516275388e-01,8.27021640594020335e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.96541127554071835e+01,3.73173668876251363e-01,8.46985895292776958e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.72038720756354095e+01,4.55062189524597593e-01,8.63122697594956301e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.76652197177635912e+01,5.00494458455500890e-01,8.78482959270851654e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.95462497587850805e+01,5.29386812327544365e-01,8.90720851297770733e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.46184877096982575e+01,6.36798140577859884e-01,9.01708357988734444e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.55201147695555619e+01,6.58923978941879929e-01,9.12169191508172966e-02
