radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,3.73937788697592843e+00,1.05754044108700072e+01,5.92850047245984113e-01
3,1.16666666666666655e-01,1.22777777777777625e-01,2.47189827803225182e+00,8.37731901833184089e+00,2.23853725054749486e-01
4,6.14761685532570976e-02,4.50955758708076748e-02,2.96572010250804441e+00,5.87425802635833172e+00,1.30969583287138036e-01
5,2.59725395078556215e-02,1.63778684536216440e-02,3.60623613382639308e+00,8.71250246251129457e-01,8.15204690525122150e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.02977063197612217e+00,7.89713890715648459e-01,5.98623390156769047e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.42995618621177378e+00,7.01311374061586279e-01,5.77959343386960020e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,7.86783937935906419e+00,7.55737016845428711e-01,6.14051898923261008e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.37546620995750679e+00,7.26961913543694438e-01,6.59164624258814363e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.14877193311008519e+01,6.82886227501897869e-01,7.08306496916729089e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.43708477265485683e+01,7.95215499033040563e-01,7.55506601957785517e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.80992680323518442e+01,7.81515029853669052e-01,7.95841855004615906e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.32944895343255283e+01,8.67989069201189789e-01,8.26744571665621181e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.92904739826046452e+01,9.94078398073546698e-01,8.47007063940787980e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.68899692643562673e+01,1.07836395438753074e+00,8.63453116715029029e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.72975347062879905e+01,1.19143226271369396e+00,8.78533512454831578e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.92069854106488975e+01,1.22254682128703185e+00,8.90776088944584404e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.43260285857975020e+01,1.39033758299386245e+00,9.01773134930643067e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.51384241797826888e+01,1.49705065682278615e+00,9.12152022709199484e-02
