radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,2.39379596319765486e+00,9.33857708637571449e+00,3.76543910426098472e-01
3,1.16666666666666655e-01,1.22777777777777625e-01,2.69592520449625539e+00,4.08960221967604731e+00,1.38716992804085726e-01
4,6.14761685532570976e-02,4.50955758708076748e-02,3.23283765676402979e+00,8.41306182055631124e-01,8.69005082149262309e-02
5,2.59725395078556215e-02,1.63778684536216440e-02,3.79244503521135545e+00,4.57017176097484212e-01,5.46114720396970940e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.18871919281592486e+00,5.09156671658059334e-01,4.95209280148872916e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.60512309176079437e+00,4.28540242961692575e-01,5.39317447528188873e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,7.91575878169622449e+00,4.28697174499807654e-01,5.94265723069776347e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.49797957916823066e+00,4.94117953780609742e-01,6.50330322687860396e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.16650204890529476e+01,5.45275957568584047e-01,7.03884505303968011e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.45264193103270713e+01,5.11776720964702503e-01,7.53747624297940316e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.84116114026259368e+01,5.55272505085786849e-01,7.96399195209771260e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.35602200443726026e+01,6.37140621728003453e-01,8.27171272917207046e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.95472167009259827e+01,6.83573711855364086e-01,8.47094747787709018e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.70607949282148468e+01,7.38585552616002117e-01,8.63212848278607642e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.75017213378565302e+01,7.70426326104237891e-01,8.78502632805100298e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.94213007206969337e+01,9.44842907430572310e-01,8.90698659685589811e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.44301546856843288e+01,9.17220712042928987e-01,9.01690158528180435e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.53630012917404883e+01,1.10247376704065680e+00,9.12178958512323834e-02
