radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,1.90857388275133122e+00,1.00552802022169736e+01,6.72055553394470206e-01
3,1.16666666666666655e-01,1.22777777777777625e-01,2.37462688029117430e+00,8.77187656505533830e+00,2.43809068556560038e-01
4,6.14761685532570976e-02,4.50955758708076748e-02,3.15477519342782919e+00,6.98379331132788916e+00,1.50098733776500765e-01
5,2.59725395078556215e-02,1.63778684536216440e-02,3.68994019778194815e+00,2.73123034903221296e+00,9.39966352693702017e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,4.84985528142218669e+00,8.76035049091306139e-01,6.37121009733153248e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.21849933749250017e+00,6.68581408130528576e-01,5.82060269973728936e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,7.72586344093186739e+00,6.92615187987845715e-01,6.18898812604037826e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.15187380989041088e+00,7.33782798918760526e-01,6.56949250725323564e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.13428490566570801e+01,8.81498268379638183e-01,7.08208156385682075e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.42840542097958583e+01,8.12987101416202229e-01,7.55022862679581713e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.80771857427731533e+01,9.67686929230303416e-01,7.96391684646928916e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.34557786117276024e+01,1.13417700172509384e+00,8.28194069265459215e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.92706776885966704e+01,1.03033632668101549e+00,8.47184503286177171e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.67814881667596012e+01,1.21798066305354902e+00,8.63244758538791179e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.72933004010162108e+01,1.15902569159990487e+00,8.78493610446799550e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.90837900908409708e+01,1.31747233200707070e+00,8.90663475601888299e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.41430150107745192e+01,1.42399241698089707e+00,9.01696630885917838e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.50740404983323231e+01,1.47480090105100770e+00,9.12212807546235321e-02
