radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,2.45570651639727933e+00,5.44770081740624246e+00,1.67003585949000777e-01
3,1.16666666666666655e-01,1.22777777777777625e-01,2.97021926435710570e+00,3.43203421409238429e-01,6.19467589933623691e-02
4,6.14761685532570976e-02,4.50955758708076748e-02,3.48588381075915921e+00,3.01222722447055780e-01,4.19707127975355587e-02
5,2.59725395078556215e-02,1.63778684536216440e-02,4.06940014954302853e+00,2.06562697086716124e-01,3.43471202290903596e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.39154367193326234e+00,1.90681271284418613e-01,4.24761177887074404e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.80197564307408165e+00,2.14895149925569712e-01,5.18273016986723900e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,8.17885979255727236e+00,1.80502757262242880e-01,5.89014580229795665e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.68578380141593698e+00,1.94491263992612073e-01,6.45511869943701938e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.18647993146858166e+01,2.16981314671155417e-01,7.02960689008443190e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.48098309098641110e+01,2.31638176457262840e-01,7.54518003205870008e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.85661105970399625e+01,2.92321457318153732e-01,7.95825346232853781e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.37464194185109037e+01,2.73819359699513487e-01,8.26988157290761972e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.97147489662127029e+01,2.88206435980600639e-01,8.46995669746792856e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.72532919964093239e+01,3.39446107575709533e-01,8.63226315244164932e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.77129708227607097e+01,3.97689916328358262e-01,8.78490845191252506e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.95957635184440022e+01,4.41442481741110282e-01,8.90714421922553651e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.46629955527755982e+01,5.07690810198730524e-01,9.01735907317964408e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.55477933055198321e+01,5.38347002024475274e-01,9.12169477515657745e-02
