radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,2.40296810549353967e+00,8.72224152619337723e+00,2.83565215107407897e-01
3,1.16666666666666655e-01,1.22777777777777625e-01,2.81935609100045603e+00,2.39304332333606684e+00,1.03188143063715862e-01
4,6.14761685532570976e-02,4.50955758708076748e-02,3.32911358744048158e+00,4.58578437666582239e-01,6.45221668771607942e-02
5,2.59725395078556215e-02,1.63778684536216440e-02,3.85112964550685311e+00,3.57417710340786787e-01,4.51012973460363786e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.23180584292456086e+00,3.50893067520970270e-01,4.55483767617640631e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.68204066057490476e+00,3.08566142011399869e-01,5.25924632118707977e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,8.06449783827114075e+00,3.78131256084981660e-01,5.92841814765347197e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.54502687939047334e+00,3.32147573088235226e-01,6.46719056476255938e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.17333060408143197e+01,3.31040217552590610e-01,7.03281892943262432e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.47131034742622422e+01,3.82114248572894888e-01,7.54823782067610277e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.84342372640177601e+01,4.09976206294388579e-01,7.95573279705309166e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.36181956816024403e+01,4.49080708883102420e-01,8.26775498692580990e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.96331858327552169e+01,5.05476487334329261e-01,8.47146491451586658e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.71205386613425503e+01,5.68384209988490374e-01,8.63155062514137372e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.75751095438540830e+01,6.49273165544145048e-01,8.78428339691407351e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.94622124906461877e+01,6.19824548651191742e-01,8.90704819632173600e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.45720127128931694e+01,7.99280739736835888e-01,9.01737361589881881e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.54920540509203875e+01,7.42043685757915572e-01,9.12180956727215997e-02
