radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,2.83759098133457366e+00,1.13809949881127595e-01,2.14086493351228653e-02
3,1.16666666666666655e-01,1.22777777777777625e-01,3.27419750540708776e+00,4.92341442995681416e-02,1.33062160039481014e-02
4,6.14761685532570976e-02,4.50955758708076748e-02,3.79090791118729076e+00,3.82551720222215896e-02,1.98094409682974607e-02
5,2.59725395078556215e-02,1.63778684536216440e-02,4.26479317308993444e+00,2.51016426735462365e-02,2.60732292907740679e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.57694749204715379e+00,2.43123790491339073e-02,4.07146767854609237e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.94963367773234708e+00,2.50655398682628101e-02,5.12796734825745060e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,8.32242688508399553e+00,2.36231876508545338e-02,5.86835832747184469e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.82877678573247771e+00,2.81563233634322570e-02,6.45142746496804032e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.19842909039701304e+01,2.91236370204378293e-02,7.02305526442364020e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.49494776992208891e+01,2.71917182368680878e-02,7.54461674718149705e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.86851111663017271e+01,2.95812011901534326e-02,7.95633720876341710e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.38876549656956740e+01,3.78411907850128987e-02,8.26972670383643721e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.98493722214406922e+01,4.26933570927810133e-02,8.47046169517314262e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.73681352763715466e+01,4.34798037121873551e-02,8.63162764191563736e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.78357659098755121e+01,5.27527031592654322e-02,8.78491992559477797e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.97445719712618484e+01,6.29587809506161195e-02,8.90732927444363998e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.47808384610733583e+01,6.61865378174993912e-02,9.01713361195938257e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.56993813628149326e+01,7.58620047581370360e-02,9.12173232373586634e-02
