radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,2.39129852249940544e+00,1.85055394935693318e+00,1.19120995613923461e-01
3,1.16666666666666655e-01,1.22777777777777625e-01,3.03956021768773343e+00,2.64611142934091159e-01,4.51634336448355350e-02
4,6.14761685532570976e-02,4.50955758708076748e-02,3.58569616445344996e+00,2.00608387366316337e-01,3.27163460151203567e-02
5,2.59725395078556215e-02,1.63778684536216440e-02,4.16256467789961881e+00,1.34005319716412497e-01,3.06690922686850172e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.46774675588456383e+00,1.44455643223788149e-01,4.17740846048422002e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.84831558469145207e+00,1.46685981046096037e-01,5.15567184083080415e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,8.23534969833721853e+00,1.71169693993896588e-01,5.87935177131858749e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.72374283421669006e+00,1.53354136602443847e-01,6.45306050662012576e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.19084656462280964e+01,1.48318020318634225e-01,7.02743709996001414e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.48770074566138568e+01,1.72993297221281872e-01,7.54824359847438703e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.85903964752195421e+01,1.93972819367664806e-01,7.95579606944895601e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.37993857474896018e+01,2.04037605723230570e-01,8.26986027403400908e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.97572169491849365e+01,2.41687548376425948e-01,8.47032108106008930e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.72886416947759471e+01,2.30042763699305791e-01,8.63160370892545742e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.77492443797688395e+01,2.88549249039966038e-01,8.78491976355210424e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.96480695514956665e+01,3.08555275170685872e-01,8.90734739250011731e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.46808540235051339e+01,3.70252006315908988e-01,9.01694130835774404e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.56051478090478071e+01,3.76438034590605153e-01,9.12175251432903456e-02
