radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,1.45539518868081097e+00,9.90463773711410234e+00,6.28957534545564467e-01
3,1.16666666666666655e-01,1.22777777777777625e-01,2.42549682315711523e+00,8.55147462993141971e+00,2.30548469000390693e-01
4,6.14761685532570976e-02,4.50955758708076748e-02,3.02475004651370538e+00,6.44267997468316267e+00,1.40140571490460081e-01
5,2.59725395078556215e-02,1.63778684536216440e-02,3.53130031751542628e+00,2.01602604200858249e+00,8.81855756889471099e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,4.95224900773478982e+00,7.37262455192716493e-01,6.19547723742810974e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.40592845021641644e+00,7.14230444277608068e-01,5.83323501295634345e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,7.72366970404193065e+00,7.03278813314692108e-01,6.09328417526688038e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.22399305617670251e+00,7.46551156363764457e-01,6.57798428789286710e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.14484153648436333e+01,7.43942594714800731e-01,7.08483328572394044e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.42952944034830747e+01,7.74772136195097993e-01,7.55037207517898351e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.81508970164584937e+01,8.07932960861279303e-01,7.96176906567518522e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.34879904857699486e+01,1.08383377916805479e+00,8.28315780074642960e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.93735406627062758e+01,1.08679344155741808e+00,8.47453362995121001e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.68157515315220820e+01,1.16406253241309265e+00,8.63125820774446190e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.72752941477137725e+01,1.21588939788417671e+00,8.78460568545301190e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.91668629755371711e+01,1.34632570477038183e+00,8.90798170646137227e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.42546826120055243e+01,1.37010794140692571e+00,9.01765982864031340e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.53005672610356385e+01,1.51976361721336439e+00,9.12206458413785948e-02
