radius,kernel_max,white_noise_gain,fwhm,localisation_rms,grad_rmse
2,6.66666666666666852e-01,9.02777777777777235e-01,2.74433552358875854e+00,1.74139643048202897e-01,3.73357469813390061e-02
3,1.16666666666666655e-01,1.22777777777777625e-01,3.22728812968201950e+00,8.76290901985529169e-02,1.75507035202615048e-02
4,6.14761685532570976e-02,4.50955758708076748e-02,3.76425262964053697e+00,6.13915445211655822e-02,2.10562839678472211e-02
5,2.59725395078556215e-02,1.63778684536216440e-02,4.23954850628659941e+00,4.89816868174400288e-02,2.64345514426993951e-02
7,1.24471668449536391e-02,5.03604891270092569e-03,5.55534971633778163e+00,4.59178835817290534e-02,4.07653576303378812e-02
9,5.40775642966234617e-03,1.75087625314269708e-03,6.92845735540776975e+00,4.08742935707543317e-02,5.12875136142854696e-02
11,3.10253380020683546e-03,7.94555335445774088e-04,8.30142294081530352e+00,4.83921955126005443e-02,5.86880244209958615e-02
13,1.79977311952490425e-03,4.02033815738445316e-04,9.80785621115898820e+00,4.95482660649312345e-02,6.45053069440935517e-02
16,1.00262406058267638e-03,1.78050387025394444e-04,1.19650524420506716e+01,4.59956723463058326e-02,7.02209065545338490e-02
20,4.91954449966996023e-04,7.15145359612066292e-05,1.49337071694047836e+01,5.26472109773450658e-02,7.54499010542164783e-02
25,2.51047049329059240e-04,2.93868156599775173e-05,1.86705685461849917e+01,6.36202521619181477e-02,7.95628072513737128e-02
32,1.19984057980426323e-04,1.09794241072551515e-05,2.38672537694209339e+01,7.13273481278071386e-02,8.26927010128246515e-02
40,6.06993133782871019e-05,4.47885649381536668e-06,2.98385323995148042e+01,7.34952972080214206e-02,8.47056855718161528e-02
50,3.09858406661317752e-05,1.83752868646750275e-06,3.73514377933695982e+01,8.52614708099970475e-02,8.63157841726971548e-02
64,1.47293467262104030e-05,6.84578520501559850e-07,4.78167301695405982e+01,9.13687391714646108e-02,8.78489761510769240e-02
80,7.55916017923413775e-06,2.80459119730544839e-07,5.97279849475149263e+01,1.02051609443297442e-01,8.90734177944580846e-02
100,3.82979017145697870e-06,1.14582128806804627e-07,7.47583744554363250e+01,1.16802776731639760e-01,9.01705250194983765e-02
128,1.83207625639372490e-06,4.27526888056819160e-08,9.56882790781292556e+01,1.15127054905956816e-01,9.12173375716884699e-02
