feature_scale_px,radius,detection_magnitude,fwhm,detection_rate
2,2,9.42808419466018677e-01,3.41633298490733583e+00,1.00000000000000000e+00
4,2,8.85845035314559937e-01,5.57676820599987444e+00,1.00000000000000000e+00
8,2,8.24957370758056641e-01,1.00839101984670556e+01,1.00000000000000000e+00
16,2,2.12680561162414961e-07,1.81599002314200284e+01,0.00000000000000000e+00
32,2,2.38602758884098876e-07,3.41666662780131389e+01,0.00000000000000000e+00
64,2,2.00085665369442722e-07,6.61666664434782064e+01,0.00000000000000000e+00
128,2,2.72328861683490686e-07,1.30166666183992930e+02,0.00000000000000000e+00
256,2,3.08299988205362752e-07,1.30166666246838588e+02,0.00000000000000000e+00
2,3,3.21886584162712097e-01,4.47996789174667853e+00,1.00000000000000000e+00
4,3,5.32592892646789551e-01,6.26571277680150907e+00,1.00000000000000000e+00
8,3,5.14500558376312256e-01,1.04583361286536238e+01,1.00000000000000000e+00
16,3,1.25863572009166091e-07,1.83805860813188033e+01,0.00000000000000000e+00
32,3,1.55467411389054178e-07,3.43356336834183935e+01,0.00000000000000000e+00
64,3,1.49293683193718607e-07,6.63499999244511258e+01,0.00000000000000000e+00
128,3,1.27962604068443397e-07,1.30349999865470636e+02,0.00000000000000000e+00
256,3,2.17628709719974722e-07,1.30349999838676410e+02,0.00000000000000000e+00
2,4,1.62746973335742950e-01,5.97417367904801733e+00,1.00000000000000000e+00
4,4,4.36366125941276550e-01,6.35092070012213572e+00,1.00000000000000000e+00
8,4,3.92740339040756226e-01,1.11402571766427876e+01,1.00000000000000000e+00
16,4,9.17038711634177162e-08,1.92372722418176210e+01,0.00000000000000000e+00
32,4,9.07424748675111914e-08,3.52069656074809600e+01,0.00000000000000000e+00
64,4,1.05818308782090753e-07,6.71143924475368721e+01,0.00000000000000000e+00
128,4,9.97500535504514119e-08,1.31125307350878188e+02,0.00000000000000000e+00
256,4,1.55912253774204146e-07,1.31125307075002468e+02,0.00000000000000000e+00
2,5,8.01605209708213806e-02,7.63697120748052427e+00,1.00000000000000000e+00
4,5,2.65557527542114258e-01,7.60359155064286441e+00,1.00000000000000000e+00
8,5,3.02686005830764771e-01,1.14384536508192483e+01,1.00000000000000000e+00
