feature_scale_px,radius,detection_magnitude,fwhm,detection_rate
4,2,8.85844796895980835e-01,5.57676796316669332e+00,1.00000000000000000e+00
8,2,8.24957340955734253e-01,1.00839101187261111e+01,1.00000000000000000e+00
16,2,1.55792001521604107e-07,1.81599003431240789e+01,0.00000000000000000e+00
32,2,1.44069410623615113e-07,3.41666663994078945e+01,0.00000000000000000e+00
64,2,2.02729374620957969e-07,6.61666663731631388e+01,0.00000000000000000e+00
128,2,2.99903135214663052e-07,1.30166666540695843e+02,0.00000000000000000e+00
256,2,3.45871811191500456e-07,2.58166666468400308e+02,0.00000000000000000e+00
512,2,3.52163979755459877e-07,2.58166666479973514e+02,0.00000000000000000e+00
4,3,5.32592803239822388e-01,6.26571274529279876e+00,1.00000000000000000e+00
8,3,5.14500349760055542e-01,1.04583358440982046e+01,1.00000000000000000e+00
16,3,9.90217863261477760e-08,1.83805858668657152e+01,0.00000000000000000e+00
32,3,1.43354867532252683e-07,3.43356336903664072e+01,0.00000000000000000e+00
64,3,1.78455643151664844e-07,6.63499998764926744e+01,0.00000000000000000e+00
128,3,1.74690853782522026e-07,1.30349999684449187e+02,0.00000000000000000e+00
256,3,1.30751736548972985e-07,2.58349999805609514e+02,0.00000000000000000e+00
512,3,1.90154601398262457e-07,2.58349999524633972e+02,0.00000000000000000e+00
4,4,4.36365991830825806e-01,6.35092088185433745e+00,1.00000000000000000e+00
8,4,3.92740249633789062e-01,1.11402573127180986e+01,1.00000000000000000e+00
16,4,8.49243875222782663e-08,1.92372728199218201e+01,0.00000000000000000e+00
32,4,9.27049370602617273e-08,3.52069658646942045e+01,0.00000000000000000e+00
64,4,1.43432998811476864e-07,6.71143925901636749e+01,0.00000000000000000e+00
128,4,1.21489211579728362e-07,1.31125307154879579e+02,0.00000000000000000e+00
256,4,1.09499765699183627e-07,2.59125307099596739e+02,0.00000000000000000e+00
512,4,1.43327717694319290e-07,2.59125306730334728e+02,0.00000000000000000e+00
4,5,2.65557467937469482e-01,7.60359131320729809e+00,1.00000000000000000e+00
8,5,3.02685931324958801e-01,1.14384537759356508e+01,1.00000000000000000e+00
16,5,6.63823857903480530e-02,1.95955271882675142e+01,1.00000000000000000e+00
32,5,9.29856049936006457e-08,3.57358346180630804e+01,0.00000000000000000e+00
64,5,8.73437677739730134e-08,6.77831304683240887e+01,0.00000000000000000e+00
128,5,7.74437189932086767e-08,1.31766464741835875e+02,0.00000000000000000e+00
256,5,7.87073020092066145e-08,2.59767223770756175e+02,0.00000000000000000e+00
512,5,1.08538195320306841e-07,2.59767223811214990e+02,0.00000000000000000e+00
4,7,1.25548571348190308e-01,1.01045653846577501e+01,1.00000000000000000e+00
8,7,2.42735080420970917e-01,1.23374651582560446e+01,1.00000000000000000e+00
16,7,5.76731301844120026e-02,2.10433382146753303e+01,1.00000000000000000e+00
32,7,3.56220226649384131e-08,3.72449591333730439e+01,0.00000000000000000e+00
