method,label,phase_px,mean_offset
square_sg,Square SG,0.1250,-6.10327100353309226e-02
square_sg,Square SG,0.1875,-1.39505910400561928e-01
square_sg,Square SG,0.2500,-1.81449883023840658e-01
square_sg,Square SG,0.3125,-1.81916827793124264e-01
square_sg,Square SG,0.3750,-1.82703918910329555e-01
square_sg,Square SG,0.4375,-1.84358589250660704e-01
square_sg,Square SG,0.5000,-1.94209107658088242e-01
square_sg,Square SG,0.5625,2.30537839428303949e-02
square_sg,Square SG,0.6250,8.46542719978080199e-02
square_sg,Square SG,0.6875,1.22503188217366832e-01
square_sg,Square SG,0.7500,1.47852515402677687e-01
square_sg,Square SG,0.8125,1.53179818056427608e-01
square_sg,Square SG,0.8750,1.27057734616610796e-01
square_sg,Square SG,0.9375,9.30988417187333661e-02
wvf,WVF,0.0000,9.28048754179777378e-08
wvf,WVF,0.0625,-2.12338868003128685e-02
wvf,WVF,0.1250,-6.09201058871050860e-02
wvf,WVF,0.1875,-1.39330763678735176e-01
wvf,WVF,0.2500,-1.81253670476072354e-01
wvf,WVF,0.3125,-1.81737600955680673e-01
wvf,WVF,0.3750,-1.82570066475856496e-01
wvf,WVF,0.4375,-1.84366738864796820e-01
wvf,WVF,0.5000,-1.95094857467602800e-01
wvf,WVF,0.5625,2.22917710732464976e-02
wvf,WVF,0.6250,8.41994941402293695e-02
wvf,WVF,0.6875,1.22405711074336010e-01
wvf,WVF,0.7500,1.48022820448214160e-01
wvf,WVF,0.8125,1.53423986457589923e-01
wvf,WVF,0.8750,1.27195312210694161e-01
wvf,WVF,0.9375,9.30781850751331019e-02
