degree,curvature_radius,grad_rmse,ang_mae,mag_bias,kappa,rank_deficient_count
1,20,7.16058525474950330e-02,1.13813944630296437e+00,-8.34563097597469249e-04,1.94994393991757953e+00,0
1,50,7.10405090966503838e-02,1.04597157038458533e+00,-9.03503563059957003e-04,1.94994393991757953e+00,0
1,100,7.09819365851099698e-02,1.04174080903919974e+00,-8.87832178331543292e-04,1.94994393991757953e+00,0
1,200,7.09651633863637166e-02,1.04117219977279474e+00,-8.76905357645180270e-04,1.94994393991757953e+00,0
3,20,3.91026185385434238e-02,1.93216277919291057e+00,3.62976692410912297e-03,5.29206088490505806e+01,0
3,50,3.87383351148455415e-02,1.80438220666281968e+00,3.51144475051429596e-03,5.29206088490505806e+01,0
3,100,3.87021065396850744e-02,1.77595905658035846e+00,3.52213399385796575e-03,5.29206088490505806e+01,0
3,200,3.86965217891665769e-02,1.80241808964568806e+00,3.52704666776528560e-03,5.29206088490505806e+01,0
5,20,1.99518282805820138e-02,7.12804673402481104e+00,5.24092050288546638e-04,4.07706283328397694e+03,0
5,50,1.97184567804906605e-02,7.42596366378241779e+00,4.59115055714971493e-04,4.07706283328397694e+03,0
5,100,1.97028686555131630e-02,7.42861722701302263e+00,4.68830138743960923e-04,4.07706283328397694e+03,0
5,200,1.96984493431516076e-02,7.44360899893878702e+00,4.72190825419249976e-04,4.07706283328397694e+03,0
7,20,8.65052174199948225e-03,6.88076503935663331e-01,9.29601286425044868e-06,8.05848947383422637e+05,0
7,50,8.50835590504997463e-03,6.53906751890701021e-01,4.67946348935561054e-06,8.05848947383422637e+05,0
7,100,8.49682485767749504e-03,6.51112067039592124e-01,1.15342685691034241e-05,8.05848947383422637e+05,0
7,200,8.49214037857804957e-03,6.50836387028511099e-01,1.17630543412652953e-05,8.05848947383422637e+05,0
9,20,3.03264713838366376e-03,4.70302605380864491e-01,2.47783089784575390e-06,4.57874811132051289e+08,0
9,50,2.94035469718357178e-03,4.35274121923500346e-01,-1.60479589772207030e-06,4.57874811132051289e+08,0
9,100,2.92942252311796745e-03,4.30954324254186616e-01,1.17880831052431712e-06,4.57874811132051289e+08,0
9,200,2.92587508037794571e-03,4.29771338464108643e-01,7.12214287924826766e-07,4.57874811132051289e+08,0
