degree,curvature_radius,grad_rmse,ang_mae,mag_bias,kappa,rank_deficient_count
1,20,1.01156803171750465e-01,1.34724078609832176e+00,-1.21447871970008642e-02,2.00098053641229212e+00,0
1,50,9.68107182461771382e-02,2.56720090619949159e-01,-1.06721856197115276e-02,2.00098053641229212e+00,0
1,100,9.66585577491982234e-02,1.78601711531327534e-01,-1.06298091930143255e-02,2.00098053641229212e+00,0
1,200,9.66088271595155618e-02,1.71509229486853459e-01,-1.05896977004498530e-02,2.00098053641229212e+00,0
3,20,7.76641601907180762e-02,1.34641039662175643e+00,7.00160795921965073e-03,5.63158371027151219e+01,0
3,50,7.28574419801378687e-02,5.53886484007452662e-01,5.87225203001951260e-03,5.63158371027151219e+01,0
3,100,7.27117627450850623e-02,5.08793832126908541e-01,5.82718256181963615e-03,5.63158371027151219e+01,0
3,200,7.26893982398158917e-02,5.05265781148113713e-01,5.86504598609215340e-03,5.63158371027151219e+01,0
5,20,5.71677999503108977e-02,2.40066633180145050e+00,9.75563565845248386e-03,4.69855536990676410e+03,0
5,50,5.26981063614710005e-02,1.71755462798113268e+00,8.66976433845812779e-03,4.69855536990676410e+03,0
5,100,5.25720381659540228e-02,1.78619461735666274e+00,8.62563224361436939e-03,4.69855536990676410e+03,0
5,200,5.25641457691176581e-02,1.80581344776735531e+00,8.66431425866692750e-03,4.69855536990676410e+03,0
7,20,4.13441622486226748e-02,2.64543313839665872e+00,9.44694913221314977e-03,7.82704583935671253e+05,0
7,50,3.73434087824574198e-02,1.90933866588312195e+00,8.08430289788873366e-03,7.82704583935671253e+05,0
7,100,3.72358233527628826e-02,1.70123761522681760e+00,8.03263417498393043e-03,7.82704583935671253e+05,0
7,200,3.72292439253612065e-02,1.61480738234437404e+00,8.05083049631738143e-03,7.82704583935671253e+05,0
9,20,2.88263692580872123e-02,5.19992880822060499e+00,5.50418604624874734e-03,2.34765381824362218e+08,0
9,50,2.53947491522787776e-02,4.49725539524166162e+00,4.12210637611663301e-03,2.34765381824362218e+08,0
9,100,2.53109127321341811e-02,3.93395056349770389e+00,4.08429595657749511e-03,2.34765381824362218e+08,0
9,200,2.53066381143002353e-02,3.68589004363236006e+00,4.08709567732186332e-03,2.34765381824362218e+08,0
