degree,curvature_radius,grad_rmse,ang_mae,mag_bias,kappa,rank_deficient_count
1,20,2.54555418800277655e-01,2.41476414161405550e+00,-1.15134873036890656e-01,2.00065338126538839e+00,0
1,50,1.26961104352370069e-01,1.05034057854754992e+00,-5.67500820147104623e-02,2.00065338126538839e+00,0
1,100,1.18713734158642545e-01,3.84373736539971367e-01,-5.07333497583599552e-02,2.00065338126538839e+00,0
1,200,1.18321263039969204e-01,1.64700869206270722e-01,-5.04606821219085455e-02,2.00065338126538839e+00,0
3,20,2.42977254357613748e-01,1.26887495882113699e+00,-8.94578163106009155e-02,5.63810330225701506e+01,0
3,50,1.16232821389832194e-01,5.63182119680580517e-01,-3.31679556144595447e-02,5.63810330225701506e+01,0
3,100,1.08589929986719860e-01,1.31497762190900064e-01,-2.77301636869922499e-02,5.63810330225701506e+01,0
3,200,1.08227640729177579e-01,6.84353117031289843e-02,-2.75363357056016625e-02,5.63810330225701506e+01,0
5,20,2.33973518764540728e-01,9.93886204601205359e-01,-6.93466465287458089e-02,4.85254623655427622e+03,0
5,50,1.08071034416014664e-01,4.96383944619093187e-01,-1.50570684485552917e-02,4.85254623655427622e+03,0
5,100,1.00867670002028231e-01,1.31785852496474426e-01,-1.03291512636313771e-02,4.85254623655427622e+03,0
5,200,1.00507271117711933e-01,9.84624338803829074e-02,-1.01954113823144420e-02,4.85254623655427622e+03,0
7,20,2.25668653250287204e-01,9.11972513526932982e-01,-5.35911350102008105e-02,8.67160774035404320e+05,0
7,50,1.00479859704880325e-01,4.91369940829842478e-01,-2.28663261742507833e-03,8.67160774035404320e+05,0
7,100,9.34766780520578933e-02,1.64200104105304057e-01,1.48570300973726297e-03,8.67160774035404320e+05,0
7,200,9.31044047162924993e-02,1.41979062044775728e-01,1.55169974188892044e-03,8.67160774035404320e+05,0
9,20,2.17407641746444197e-01,8.97844780353800553e-01,-4.19761861180366486e-02,2.61095941358558267e+08,0
9,50,9.24983993652332415e-02,5.09652795851416540e-01,5.40574688991644469e-03,2.61095941358558267e+08,0
9,100,8.54871799930217169e-02,2.19724741424967479e-01,8.04994286759792323e-03,2.61095941358558267e+08,0
9,200,8.50996441297616618e-02,2.08325701577371736e-01,8.04586801119345531e-03,2.61095941358558267e+08,0
