radius,degree_max,support_cardinality,coefficient_count,kappa,sigma_min,rank_deficient_count,kernel_max,kernel_has_nan,status,application_method,step_grad_rmse,arc_grad_rmse,s_curve_grad_rmse
5,11,80,78,3.84979237094858447e+24,2.36385021799877234e-24,8,6.01427288523961434e-01,False,ok,native,1.52854675232599185e-03,8.57216876448795712e-03,1.54882764354574124e-03
9,20,252,231,7.06424699436885445e+34,2.28247174432541557e-34,126,1.03550651292384083e-01,False,ok,native,1.36302528385440370e-02,1.86998516670894149e-02,1.49280692165179706e-02
15,36,708,703,2.61505355716422067e+58,1.03368230609493737e-57,598,2.19743093281678341e-02,False,ok,native,4.33990984914167377e-02,4.56044869307663803e-02,5.83081796491649179e-02
25,61,1960,1953,1.06253909329306571e+101,4.23213224544359522e-100,1854,4.32619170593105500e-03,False,ok,native,7.56228500887761168e-02,7.68334963009860150e-02,1.45431266755349564e-01
50,123,7844,7750,8.76134057253779986e+222,1.02676069274314237e-221,7659,5.07385865744467823e-04,False,ok,native,1.02018106189033675e-01,1.02257727741362520e-01,2.61498734971638003e-01
