theta_deg,residual,kernel_max
0,0.00000000000000000e+00,1.69796257620839021e-04
5,3.70742932881418241e-16,1.69798710730870048e-04
10,3.75459212331730185e-16,1.69781096092827522e-04
15,2.68794047349890652e-16,1.69670118692200078e-04
20,1.63638904943780306e-14,1.69740535493924171e-04
25,3.17169793033478253e-16,1.69783992611601377e-04
30,3.00710248802432689e-16,1.69848920195005755e-04
35,3.89019871004092632e-15,1.69851075434398634e-04
40,2.37657116208822572e-16,1.69903251348060396e-04
45,4.15357852279196749e-16,1.69897759200901706e-04
50,5.66333004797803241e-16,1.69903251348060993e-04
55,6.59625975938044409e-15,1.69851075434399962e-04
60,1.20694741093801960e-15,1.69848920195007517e-04
65,1.19058951066064456e-16,1.69783992611603193e-04
70,8.56287629236000825e-16,1.69740535493926421e-04
75,1.14979640392087745e-16,1.69670118692202761e-04
80,4.86622799889847857e-15,1.69781096092830775e-04
85,2.15374389871993144e-15,1.69798710730873409e-04
90,1.57501942626921301e-16,1.69796257620842843e-04
95,1.34810917854291668e-14,1.69798710730873409e-04
100,2.49230974400105332e-16,1.69781096092831073e-04
105,1.11090065098295998e-16,1.69670118692203439e-04
110,1.39496162017416214e-16,1.69740535493925933e-04
115,4.28923931962421623e-16,1.69783992611603166e-04
120,5.66834668531144073e-14,1.69848920195005539e-04
125,1.70707632057842673e-16,1.69851075434398227e-04
130,2.14983738276719460e-16,1.69903251348056845e-04
135,1.55891331744470452e-16,1.69897759200895689e-04
140,3.59909381486035740e-16,1.69903251348053972e-04
145,2.97786629881689746e-15,1.69851075434394893e-04
150,2.03643695060196778e-14,1.69848920195002422e-04
155,3.05108043864577017e-16,1.69783992611599507e-04
160,1.67906324694683251e-15,1.69740535493922518e-04
165,6.56692785544997493e-16,1.69670118692199698e-04
170,2.40783726575375008e-16,1.69781096092827305e-04
175,2.37175323868424326e-14,1.69798710730870237e-04
