theta_deg,residual,kernel_max
0,0.00000000000000000e+00,2.59725395078555972e-02
5,1.34007388519208348e-16,2.58737061537041395e-02
10,1.38777878078144568e-16,2.61730314001113046e-02
15,1.94289029309402395e-16,2.67760938325849081e-02
20,1.76941794549634324e-16,2.71753740231450436e-02
25,2.35922392732845765e-16,2.73678332084495643e-02
30,1.24900090270330111e-16,2.73520066578882871e-02
35,1.14491749414469268e-16,2.76068606223384208e-02
40,1.59594559789866253e-16,2.79260679039256103e-02
45,1.11022302462515654e-16,2.80327409465430978e-02
50,1.52655665885959024e-16,2.79260679039256172e-02
55,1.52655665885959024e-16,2.76068606223384347e-02
60,1.02348685082631619e-16,2.73520066578883253e-02
65,7.63278329429795122e-17,2.73678332084496094e-02
70,7.80625564189563192e-17,2.71753740231450852e-02
75,7.28583859910258980e-17,2.67760938325849566e-02
80,1.03216046820620022e-16,2.61730314001113566e-02
85,9.71445146547011973e-17,2.58737061537041950e-02
90,1.28369537222283725e-16,2.59725395078556492e-02
95,9.36750677027475831e-17,2.58737061537041881e-02
100,2.68882138776405100e-16,2.61730314001113219e-02
105,1.16226472890446075e-16,2.67760938325849220e-02
110,1.31838984174237339e-16,2.71753740231450470e-02
115,1.31838984174237339e-16,2.73678332084495678e-02
120,1.90819582357448780e-16,2.73520066578882767e-02
125,1.61329283265843060e-16,2.76068606223383722e-02
130,1.38777878078144568e-16,2.79260679039255583e-02
135,1.90819582357448780e-16,2.80327409465430354e-02
140,2.05131051034257439e-16,2.79260679039255479e-02
145,1.52655665885959024e-16,2.76068606223383584e-02
150,2.56739074444567450e-16,2.73520066578882386e-02
155,1.80411241501587938e-16,2.73678332084495157e-02
160,1.52655665885959024e-16,2.71753740231449915e-02
165,2.29850860566926940e-16,2.67760938325848595e-02
170,1.24900090270330111e-16,2.61730314001112560e-02
175,1.83880688453541552e-16,2.58737061537041395e-02
